date,Total_Daily_PnL,Total_Daily_Volume,Net_Trade_Flow,Trade_Count,Classification,Sentiment_Score
2024-12-24,14813.780116,1767036.11,-1267414.25,338,Greed,1
2024-12-25,756.6570469999998,347889.35,-118252.75,208,Greed,1
2024-12-26,60228.639722,2205242.65,-1447323.33,697,Greed,1
2024-12-27,2672.811035,347913.0,-342994.32,260,Greed,1
2024-12-28,940.673623,281555.01,-154122.03,161,Greed,1
2024-12-29,2884.067927,344628.54,-244553.38,201,Greed,1
2024-12-30,9009.738137,1073865.73,-989783.95,304,Greed,1
2024-12-31,5445.01281,877164.62,-821442.1799999999,306,Greed,1
2025-01-01,-9528.065345,282582.1,-41025.84,96,Greed,1
2025-01-02,8716.519087,774674.84,-691158.02,361,Greed,1
2025-01-03,6028.486793,771208.99,-680114.93,508,Greed,1
2025-01-04,2553.537968,1826029.6199999999,-1799651.76,371,Greed,1
2025-01-05,3187.719363,451943.57,-451029.91000000003,239,Greed,1
2025-01-06,6064.185393,556526.99,-528635.93,573,Greed,1
2025-01-07,16098.227531,1313178.1,-1296742.58,637,Greed,1
2025-01-08,130117.090554,3177275.18,-3054477.52,1039,Greed,1
2025-01-09,46975.928902,1020733.25,-967405.8300000001,522,Greed,1
2025-01-11,2269.080536,1658098.71,-1624317.57,283,Greed,1
2025-01-12,5742.241803,2258459.17,-2238361.83,602,Greed,1
2025-01-13,9655.429352,2936648.0100000002,-2771992.41,408,Greed,1
2025-01-14,16069.512355,876581.97,-818540.05,275,Greed,1
2025-01-15,14819.5883,1801599.8900000001,-1793479.97,267,Greed,1
2025-01-16,20807.709328,3049692.96,-3012741.5,371,Greed,1
2025-01-17,7006.415608,1110230.46,-1096156.9,238,Greed,1
2025-01-18,443.2330819999997,2711629.88,-2530130.54,651,Greed,1
2025-01-19,87923.799302,9715215.3,-9425903.6,1567,Greed,1
2025-01-20,87277.239173,8287327.01,-8093844.39,1315,Greed,1
2025-01-21,11077.839421,1523729.82,-1509885.24,530,Greed,1
2025-01-22,20524.408057,1778406.43,-1761858.01,832,Greed,1
2025-01-23,101256.24216,3697028.66,-3577810.08,1218,Greed,1
2025-01-24,10602.779738,1611433.45,-928765.63,874,Greed,1
2025-01-25,-10348.016255999999,1239377.7,-921446.34,506,Greed,1
2025-01-26,40823.466668,1201173.66,-1171789.08,451,Greed,1
2025-01-27,41331.765392,1508028.31,-1116829.83,773,Greed,1
2025-01-28,17979.613973,579412.17,-543252.79,498,Greed,1
2025-01-29,23421.01147,1897513.41,-1658346.77,910,Greed,1
2025-01-30,23097.471385,3014397.17,-2955385.57,1067,Greed,1
2025-01-31,35868.296773,2783411.48,-2620436.5,1016,Greed,1
2025-02-01,32300.205017,1363746.44,-974678.94,634,Greed,1
2025-02-02,162854.759623,5661092.29,-4461555.17,1319,Greed,1
2025-02-03,348871.326269,22592901.37,-22052186.09,2380,Fear,0
2025-02-04,416876.88812,15678409.27,-15574177.11,2512,Greed,1
2025-02-07,22450.002091,3460263.54,-2887058.54,1524,Fear,0
2025-02-08,586.703253,839734.97,-286276.15,575,Fear,0
2025-02-10,63908.49465,3624958.44,-3482439.4,889,Fear,0
2025-02-19,14985.794701,3263930.24,-2719029.94,1361,Fear,0
2025-02-21,119693.49395,3972159.88,-3948639.28,1873,Greed,1
2025-02-25,204762.177034,19414984.36,-17036490.98,6246,Fear,0
2025-02-26,63229.063129,4946958.13,-4781602.37,1176,Fear,0
2025-02-27,-36525.167517,1999898.43,-1925142.41,890,Fear,0
2025-02-28,225628.108748,4123660.77,-3699551.97,1019,Fear,0
2025-03-01,10596.108968,263824.13,-214183.31,174,Fear,0
2025-03-02,66914.320708,6460848.74,-6307365.2,532,Fear,0
2025-03-03,616413.032233,8244590.38,-8026784.78,1482,Fear,0
2025-03-04,182075.566585,11124247.15,-10495613.23,2402,Fear,0
2025-03-05,269328.365917,9193654.22,-8982216.28,1660,Fear,0
2025-03-06,16101.125561,6765324.96,-6633005.7,760,Fear,0
2025-03-07,150236.061627,19854275.48,-19552194.1,2552,Fear,0
2025-03-08,24700.773359,892083.51,-711613.59,529,Fear,0
2025-03-09,19773.457395,10419697.99,-9753069.93,1422,Fear,0
2025-03-10,-10010.027269999999,16811790.68,-16493907.9,2911,Fear,0
2025-03-11,-76880.729036,14016952.09,-13858214.05,3286,Fear,0
2025-03-12,288105.984215,18618139.15,-17978910.13,3968,Fear,0
2025-03-14,68646.160089,8047187.16,-8045087.22,2210,Fear,0
2025-03-16,-7910.943544999999,10187921.51,-10185921.83,530,Fear,0
2025-03-17,26163.906513,3592895.05,-3565303.75,920,Fear,0
2025-03-18,72322.788824,4050655.47,-4050655.47,834,Fear,0
2025-03-19,29374.682341,4598813.57,-3584407.53,1612,Fear,0
2025-03-21,6951.270374,2543903.39,-2503903.67,698,Fear,0
2025-03-22,12498.535254,971809.42,-971709.6799999999,535,Fear,0
2025-03-23,14047.421585,2593519.67,-2548193.51,447,Fear,0
2025-03-27,58825.359221,3240279.46,-3226375.5,785,Fear,0
2025-03-28,21337.179335,1483092.61,-1330857.53,728,Fear,0
2025-03-29,12098.872931,3668151.83,-3650571.31,1894,Fear,0
2025-03-30,15795.11514,2850874.96,-2847568.66,568,Fear,0
2025-03-31,6978.184557,2164772.4699999997,-2051603.17,495,Fear,0
2025-04-01,-2202.6622420000003,704445.1900000001,-701735.21,192,Fear,0
2025-04-02,202212.740938,3867930.6,-3862360.62,1076,Fear,0
2025-04-03,-2365.961276,8670233.15,-8525207.01,1748,Fear,0
2025-04-04,-25515.678949999998,3835545.73,-3675427.55,1272,Fear,0
2025-04-05,35907.33771,1267564.22,-1267564.22,360,Fear,0
2025-04-06,47053.449272,3551252.06,-3398423.46,1048,Fear,0
2025-04-07,34527.370305,14460253.14,-14420300.22,2814,Fear,0
2025-04-08,34899.394798,8869391.4,-8657836.64,943,Fear,0
2025-04-09,43120.444797,28556806.47,-28473109.69,3967,Fear,0
2025-04-10,158261.822261,28741953.29,-28597790.61,2127,Fear,0
2025-04-11,126406.479081,11319327.07,-11269131.95,1096,Fear,0
2025-04-12,410419.694533,55914617.49,-55843113.15,2109,Fear,0
2025-04-14,45680.443063,13079972.98,-13062250.04,890,Fear,0
2025-04-15,72357.706282,20752168.24,-20750687.84,1131,Fear,0
2025-04-16,58631.730257,36502715.9,-36466322.46,1608,Fear,0
2025-04-17,5427.919886,2604551.51,-2594715.53,1031,Fear,0
2025-04-18,4880.4047439999995,24610650.46,-24250757.8,1894,Fear,0
2025-04-19,71950.577495,32706462.71,-32523160.509999998,2786,Fear,0
2025-04-20,25060.341936,12126094.05,-11616319.55,1982,Fear,0
2025-04-21,34369.267906999994,42104054.84,-42102555.94,1718,Fear,0
2025-04-23,-419020.225731,30682443.79,-30427815.79,6159,Greed,1
2025-04-24,50704.395965,35088918.64,-34469504.16,2232,Greed,1
2025-04-25,20218.859206,27749455.78,-27471147.36,1653,Greed,1
2025-04-26,-4125.753942,11948127.77,-11874071.05,1131,Greed,1
2025-04-27,2702.067468,487537.69,-230179.55,337,Greed,1
2025-04-29,125749.613427,34089511.66,-33916989.46,2243,Greed,1
2025-04-30,14003.797269,12693878.85,-12334623.39,1113,Greed,1
